Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
7/19/24,1862,247.79,249.44,236.83,239.2,155,-195
7/18/24,1524,251.09,257.14,247.2,249.23,105,-130
7/17/24,1716,252.73,258.47,246.182,248.5,170,-110
7/16/24,1836,255.31,258.62,245.8001,256.56,196,-130
7/15/24,1001,255.97,265.6,251.73,252.64,142,-61
7/12/24,3160,235.8,251.84,233.0912,248.23,301,-520
7/11/24,1892,263.3,271,239.65,241.03,282,-148
7/10/24,2392,262.8,267.59,257.86,263.26,439,-169
7/9/24,2067,251,265.61,250.3,262.33,261,-171
7/8/24,1200,247.71,259.439,244.57,252.94,135,-93
7/5/24,1658,249.81,252.37,242.4601,251.52,201,-161
7/4/24,3150,,,,,586,-255
7/3/24,4973,234.56,248.35,234.25,246.39,1335,-436
7/2/24,2488,218.89,231.3,218.06,231.26,455,-223
7/1/24,961,201.02,213.23,200.85,209.86,81,-72
6/28/24,1372,199.55,203.2,195.26,197.88,106,-123
6/27/24,2060,195.17,198.72,194.05,197.42,272,-237
6/26/24,1890,186.54,197.755,186.36,196.37,128,-411
6/25/24,1415,184.4,187.97,182.01,187.35,86,-186
6/24/24,767,184.97,188.8,182.55,182.58,37,-75
6/21/24,1266,182.3,183.95,180.69,183.01,84,-131
6/20/24,1166,184.68,185.21,179.66,181.57,51,-147
6/19/24,1604,,,,,116,-147
6/18/24,2342,186.56,187.2,182.37,184.86,192,-200
6/17/24,1086,177.92,188.81,177,187.44,41,-92
6/14/24,4873,185.8,186,176.92,178.01,462,-272
6/13/24,3598,188.39,191.08,181.23,182.47,378,-195
6/12/24,2486,171.12,180.55,169.8,177.29,126,-254
6/11/24,2155,173.92,174.75,167.41,170.66,93,-181
6/10/24,1268,176.06,178.57,173.17,173.79,57,-77
6/7/24,1567,176.13,179.35,175.58,177.48,97,-178
6/6/24,1762,174.6,179.73,172.73,177.94,105,-155
6/5/24,2180,175.35,176.15,172.13,175,77,-209
6/4/24,1372,174.775,177.755,174,174.77,96,-148
6/3/24,923,178.13,182.6389,174.49,176.29,51,-108
5/31/24,1661,178.5,180.32,173.82,178.08,96,-151
5/30/24,1811,178.575,182.67,175.38,178.79,92,-167
