Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
6/4/21,2309,193.2367,200.2033,192.4,199.6833,0,-48
6/3/21,1956,200.6,201.5167,190.4067,190.9467,2,-36
6/2/21,894,206.71,207.7867,199.7133,201.7067,1,-21
6/1/21,603,209.2667,211.2667,206.85,207.9667,0,0
5/31/21,371,,,,,0,0
5/28/21,720,209.5,211.8633,207.46,208.4067,2,-2
5/27/21,786,206.7467,210.3767,205.4033,210.2833,2,-7
5/26/21,1043,202.52,208.7233,200.5,206.3767,1,-15
5/25/21,887,202.4367,204.6633,198.57,201.5633,7,-25
5/24/21,540,193.8667,204.8267,191.2167,202.1467,0,-3
5/21/21,1080,198.7033,198.8933,193.3333,193.6267,8,-7
5/20/21,1286,191.6667,196.2833,190.3567,195.5933,0,-29
5/19/21,1027,184.1833,188.7367,182.3267,187.82,0,-38
5/18/21,1591,189.3333,198.75,187.7933,192.6233,2,-58
5/17/21,1212,191.851,196.5767,187.0667,192.2767,2,-19
5/14/21,1551,194.47,197.6233,190.1533,196.58,9,-76
5/13/21,1944,200.515,202.1533,186.55,190.5633,2,-81
5/12/21,955,200.83,206.8033,195.5883,196.63,0,-31
5/11/21,1152,199.7467,209.0333,198.5333,205.7333,4,-38
5/10/21,739,221.6333,221.6833,209.2034,209.68,1,-2
5/7/21,1033,221.9333,230,220.0733,224.1233,0,-4
5/6/21,652,226.92,227.0067,216.6667,221.18,3,-6
5/5/21,425,227.02,228.4318,222.4467,223.6467,0,-4
5/4/21,553,226.3133,227.8155,219.2337,224.5333,5,-8
5/3/21,412,234.6,235.3333,226.8333,228.3,0,-2
4/30/21,528,222.53,238.49,222.0467,236.48,2,-5
4/29/21,979,233.17,234.0833,222.8334,225.6667,6,-5
4/28/21,1593,232.1367,236.1667,231.2,231.4667,15,-33
4/27/21,2664,239.32,241.3333,234.45,234.9133,81,-46
4/26/21,916,247,249.7667,244.2018,246.0667,3,-3
4/23/21,2212,239.9333,245.7867,238.4867,243.1333,2,-22
4/22/21,2708,247.1667,251.2567,239.3467,239.8967,0,-9
4/21/21,2530,234.9233,248.28,232.6667,248.04,5,-15
4/20/21,2800,239.14,245.75,236.895,239.6633,4,-67
4/19/21,1710,239.8667,241.8,230.6,238.21,0,-8
4/16/21,1258,242.8833,249.8033,241.5333,246.5933,7,-8
4/15/21,1429,247.7,247.8967,240.4367,246.2833,16,-7
4/14/21,1493,256.9,260.2633,242.6767,244.0767,31,-4
4/13/21,1365,237.5667,254.3333,236.8867,254.1067,48,-2
4/12/21,823,228.5667,234.9333,227.3633,233.9933,11,-4
4/9/21,1213,225.9233,226.99,223.1433,225.6733,24,-3
4/8/21,1405,225.7933,229.85,223.8817,227.9333,9,-19
4/7/21,1596,229,230.46,222.6133,223.6567,26,-4
4/6/21,1749,230.1,232.1833,227.1233,230.54,137,-18
4/5/21,934,235.9033,236.0533,228.2333,230.35,56,-13
4/2/21,1105,,,,,17,-9
4/1/21,1413,229.4567,230.8068,219.8067,220.5833,21,-9
3/31/21,1440,215.54,224,213.7033,222.6433,10,-19
3/30/21,1409,200.5833,212.5533,197.0033,211.8733,1,-26
3/29/21,801,205.2133,205.4933,198.6733,203.7633,0,-12
3/26/21,1619,213.9567,214.6067,199.9633,206.2367,10,-24
3/25/21,2201,204.3333,215.1667,203.1667,213.4633,20,-24
3/24/21,2323,222.6367,222.6733,210.0367,210.09,30,-15
3/23/21,1681,225.2567,225.9333,219.17,220.72,96,-26
3/22/21,1119,228.1967,233.2067,222.9167,223.3333,15,-3
3/19/21,1535,215.5333,219.0767,208.2067,218.29,20,-42
3/18/21,1488,228.0967,229.7433,217.3333,217.72,21,-24
3/17/21,1634,218.9567,234.5767,217.0033,233.9367,33,-28
3/16/21,2336,234.45,235.9733,223.6667,225.6267,29,-37
3/15/21,1286,231.3633,237.7267,228.0133,235.98,8,-20
3/12/21,1468,223.3333,231.6267,222.0465,231.2433,48,-13
3/11/21,1889,233.1333,234.1667,225.7267,233.2,54,-19
3/10/21,3154,233.4333,239.2833,218.3533,222.6867,206,-67
3/9/21,2197,202.7267,226.03,198.4033,224.5267,42,-86
3/8/21,1237,200.1833,206.7083,186.2633,187.6667,13,-50
3/5/21,1757,208.6867,209.2806,179.83,199.3167,24,-71
3/4/21,1575,218.6,291.3133,200,207.1467,27,-31
3/3/21,1417,229.33,233.5667,217.235,217.7333,6,-26
3/2/21,1352,239.4267,240.37,228.3333,228.8133,20,-24
