time,open,high,low,close,Volume
1638563400,197.26,198.72,196.87,198.42,64713
1638801000,199.86,204.09,199.43,204.05,111164
1638804600,204.15,205.95,203.64,205.4,54279
1638808200,205.41,206.42,205.25,205.6,51439
1638811800,205.77,206.09,204.78,205.39,28145
1638815400,205.38,205.94,205.09,205.5,19495
1638819000,205.69,205.71,204.42,205.01,32473
1638822600,205.04,205.97,204.61,205.86,85057
1638887400,206.96,210.47,206.49,209.57,97270
1638891000,209.57,211.64,209.38,210.54,57118
1638894600,210.56,211.27,209.74,210.33,27911
1638898200,210.38,210.73,209.52,210.6,31612
1638901800,210.68,211.49,210.55,210.835,32272
1638905400,210.68,210.95,208.78,208.78,33789
1638909000,208.82,209.08,207.65,208.94,40375
1638973800,209.14,212.64,207.79,211.72,43378
1638977400,211.07,212.39,210.72,211.16,20771
1638981000,211.19,212.67,211.19,211.78,11758
1638984600,212.28,212.4,211.56,211.8,15651
1638988200,211.9,212.2,210.39,210.475,17397
1638991800,210.46,211.31,210.46,211.12,15214
1638995400,210.9,211.19,210.8,211.12,28501
1639060200,207.57,208.37,206.43,206.91,70573
1639063800,206.91,206.94,205.33,206.36,52843
1639067400,206.63,207.12,206.12,206.95,19402
1639071000,207.01,207.535,206.49,206.57,15834
1639074600,206.56,207.65,206.36,207.2,17785
1639078200,207.22,207.41,206.46,206.895,17369
1639081800,206.88,207.9,206.86,207.57,36475
1639146600,208.2,208.32,204.37,205.2,50512
1639150200,205.31,205.57,203.55,204.26,32347
1639153800,204.14,204.8,203.56,204.16,20149
1639157400,204.24,204.52,203.83,204.12,18258
1639161000,203.96,204.92,203.92,204.67,8518
1639164600,204.88,205.15,204.41,205.14,17982
1639168200,205.09,205.54,204.91,205.05,27132
1639405800,202.62,202.72,198.53,198.84,41960
1639409400,198.68,199.17,195.96,195.96,41848
1639413000,196.18,197.19,195.8,196.68,46009
1639416600,196.82,196.91,195.55,196.17,23266
1639420200,196.26,197.94,196.05,197.41,24111
1639423800,197.45,198.33,197.27,198.12,25426
1639427400,198.11,198.33,197.27,197.39,42063
1639492200,195.9,200.5,195.57,198.89,75512
1639495800,198.71,198.71,195.68,196.78,27895
1639499400,196.88,196.93,195.43,196.19,12378
1639503000,196.19,196.27,195.4,196.12,12627
1639506600,196.01,196.94,195.5,196.63,9372
1639510200,196.58,196.92,195.67,196.77,31531
1639513800,196.75,196.75,195.18,195.45,39246
1639578600,195.28,195.28,190.37,191.07,54705
1639582200,191.17,191.46,190.52,191,30675
1639585800,191.02,191.47,190.32,191.47,25068
1639589400,191.53,192.56,191.49,192.05,22353
1639593000,192,194.26,190.88,193.22,54916
1639596600,193.15,195.68,192.45,195.68,33573
1639600200,195.76,196.55,194.43,195.48,38714
1639665000,197.05,198.18,194.13,195.27,60436
1639668600,194.91,194.99,194,194.79,22052
